AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
1,3,Girish Gowda,34,1,A1
2,3,Harish Setty,22,1,A2
3,3,Ganesh S,32,1,A3
4,6,Nagaraj Swamy,49,1,A1
5,6,Chaitra Kori,25,2,A2
6,7,Sunil Reddy,22,1,A1
7,8,Abdul Prasad T,36,1,A1
8,9,Prasad Jadhav,46,1,A1
9,10,Rohit M,45,1,A1
10,11,Nagaraj Angadi P,45,1,A1
11,11,Karthik Kollegal,41,1,A2
12,12,Anil Pai,46,1,A1
13,13,Venkatesh Bhat,31,1,A1
14,13,Lokesh Rao,24,1,A2
15,13,Arun Poojary,38,1,A3
16,14,Ravi Iyer T,27,1,A1
17,16,Deepak Nayak,22,1,A1
18,16,Sunil Desai,23,1,A2
19,17,Girish Devaraj,26,1,A1
20,23,Ganesh Ballal,20,1,A1
21,23,Basavaraj Angadi,51,1,A2
22,25,Ramya Shetty,20,2,A1
23,25,Prakash T,47,1,A2
24,26,Prakash Biradar,25,1,A1
25,26,Srinivas A,22,1,A2
26,27,Rajesh T,26,1,A1
27,29,Sunil Patil,20,1,A1
28,30,Girish Patil P,23,1,A1
29,32,Raghavendra Murthy,37,1,A1
30,34,Rajesh Poojary,34,1,A1
31,38,Ravi Naik,28,1,A1
32,41,Prasad Shetty,21,1,A1
33,43,Naveen Devaraj,55,1,A1
34,44,Syed Gangavathi K,39,1,A1
35,45,Sandeep Jadhav,25,1,A1
36,46,Naveen Biradar,41,1,A1
37,47,Sandeep Channagiri,45,1,A1
38,48,Rohit Acharya,48,1,A1
39,49,Venkatesh Setty B,22,1,A1
40,50,Prakash Poojary,43,1,A1
41,51,Mohan Kumar,38,1,A1
42,53,Harish Kulkarni,42,1,A1
43,53,Deepak Prasad,39,1,A2
44,56,Anil Desai,54,1,A1
45,57,Suresh K,37,1,A1
46,58,Thomas Shetty,24,1,A1
47,58,Vishnu Kumar,31,1,A2
48,59,Mahesh Poojary,52,1,A1
49,61,Manjunath Mundgod,26,1,A1
50,61,Shankar Kembhavi H,34,1,A2
51,62,Sushma Patil,51,2,A1
52,64,Ashok Nayak,29,1,A1
53,66,Mohan Pai,22,1,A1
54,66,Madhu Banakar,36,1,A2
55,68,Sandeep Patil,30,1,A1
56,68,Sandeep Mudalgi,36,1,A2
57,69,Shankar Iyer,44,1,A1
58,69,Kavya N,21,2,A2
59,70,Santosh Nayak,23,1,A1
60,71,Prakash Naik,25,1,A1
61,72,Prakash Naik,47,1,A1
62,73,Manjunath Arsikere,54,1,A1
63,75,Girish Devaraj,49,1,A1
