ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,ReligionID,CasteID,GenderID
1,1,Ramya Biradar,67,4,1,1,2
2,2,Pooja Hiremath,55,2,1,2,2
3,3,David Hegde,39,9,1,4,1
4,4,Abdul Naik,61,6,2,1,1
5,5,Sushma A,29,10,1,2,2
6,6,Karthik D,25,1,1,2,1
7,7,Umesh Devaraj N,25,6,1,3,1
8,8,Sushma Pai,39,6,1,3,2
9,9,Roopa Gowda,35,6,1,3,2
10,10,Nagaraj Angadi T,66,3,1,2,1
11,11,Gopal Patil,53,5,2,3,1
12,12,Ravi Rao H,39,4,1,4,1
13,13,Vishnu Shetty,66,9,1,4,1
14,14,Suresh Jadhav,56,3,1,4,1
15,15,Deepak Bhat,65,6,1,2,1
16,16,Yogesh G,46,2,1,1,1
17,17,Shwetha Hegde,51,3,5,1,2
18,18,Prakash Nayak D,31,7,1,1,1
19,19,Harish Shetty M,31,5,2,1,1
20,20,Santosh Swamy,44,8,1,1,1
21,21,Chandru Banakar,53,7,1,5,1
22,22,Netra Hanumanthappa,60,8,1,5,2
23,23,Sushma Angadi M,47,9,1,4,2
24,24,Suresh Swamy,25,9,1,5,1
25,25,Kavya Bhat R,65,3,1,3,2
26,26,Rajesh Kumar,22,1,2,2,1
27,27,Mary Hanumanthappa,37,1,7,5,2
28,28,Vinay Banakar B,46,10,1,4,1
29,29,Manasa Naik,70,9,1,2,2
30,30,Mohan Jadhav,62,6,1,5,1
31,31,Deepak L,36,10,1,3,1
32,32,Divya Pai,28,2,1,1,2
33,33,Ravi Biradar,31,6,2,4,3
34,34,Anitha Setty K,33,9,1,1,2
35,35,Ayesha Rao M,61,6,1,5,2
36,36,Girish Shetty,34,9,2,5,1
37,37,Mary Patil,46,9,1,3,2
38,38,Manjunath Hiremath,38,3,1,5,1
39,39,Anil Kamath,65,4,2,5,1
40,40,Bharathi Shetty,60,8,5,1,2
41,41,Roopa Angadi,63,10,1,3,2
42,42,Sunitha Kumar,22,9,5,3,2
43,43,Deepak Desai,39,5,1,1,1
44,44,Divya B,46,6,1,5,2
45,45,Sunitha Biradar,55,9,1,3,2
46,46,Kiran K,22,9,1,2,1
47,47,Padma Murthy,22,8,1,3,2
48,48,Ashwini Angadi,52,9,1,1,2
49,49,Raghavendra Hiremath K,46,7,1,5,1
50,50,Chandru Ballal V,35,9,1,3,1
51,51,Deepa Prasad,28,5,1,3,2
52,52,Rohit Pai,65,9,1,2,1
53,53,Rohit V,67,1,3,4,1
54,54,Abdul Hanumanthappa,58,7,1,4,1
55,55,Uma Prasad,22,9,1,5,2
56,56,Roopa Shetty,31,3,1,1,2
57,57,Abdul Reddy,67,8,1,2,1
58,58,Sujatha Acharya,21,9,1,1,2
59,59,Arun Shetty,29,8,2,2,1
60,60,Arun Kulkarni,54,3,1,2,1
61,61,Ramya Rao,62,9,1,3,2
62,62,Darshan Iyer,69,2,1,2,1
63,63,Vinay Reddy D,42,4,2,3,1
64,64,Sushma Rao,28,7,1,5,2
65,65,Vidya Angadi,39,10,1,5,2
66,66,Ganesh Banakar,63,5,2,1,1
67,67,Syed Devaraj L,21,7,1,2,1
68,68,Yogesh Gowda,19,4,1,2,1
69,69,Ramesh Iyer,61,8,1,5,1
70,70,Venkatesh Jadhav,18,1,2,5,1
71,71,Sahana Setty,35,6,1,1,2
72,72,Ganesh Devaraj,45,6,1,4,1
73,73,Basavaraj Gowda,26,8,1,2,1
74,74,Madhu Rao,34,5,3,4,1
75,75,Pooja Acharya,35,5,1,3,2
76,76,Sahana Desai,46,3,1,3,2
77,77,Roopa Setty,39,10,1,2,2
78,78,Imran L,56,6,1,4,1
79,79,Vijay Poojary,51,2,1,3,1
80,80,Vishnu Banakar P,46,5,1,5,1
81,81,Manasa Biradar,53,9,1,4,2
82,82,Girish Prasad,53,5,1,1,1
83,83,Vinay Ballal,32,8,1,4,1
84,84,Ganesh R,40,4,1,1,1
85,85,Suresh Kamath,62,8,1,2,1
86,86,Madhu Reddy,69,1,2,3,1
87,87,Syed V,21,8,2,3,1
88,88,Mohan Murthy,35,2,2,1,1
89,89,Abdul Patil,66,6,1,5,1
90,90,Chaitra Devaraj,48,4,1,3,2
91,91,Sujatha K,29,1,1,2,2
92,92,David Setty,70,9,1,2,3
93,93,Venkatesh Swamy D,31,5,1,4,1
94,94,Prasad S,69,4,3,3,1
95,95,Grace Kamath,62,9,1,3,2
96,96,Praveen Gowda,47,8,1,3,1
97,97,Sunil Iyer,20,5,1,1,1
98,98,Karthik G,24,1,1,2,1
99,99,Nandini Pai,62,1,2,1,2
100,100,Lokesh Gowda,53,6,2,5,1
101,101,Imran Naik,34,8,1,3,1
102,102,Grace Acharya,44,5,1,5,2
103,103,Raghavendra Hiremath,64,5,1,5,1
104,104,Arun Hegde,70,4,2,5,1
105,105,Netra Shetty,38,4,1,1,2
106,106,Grace K,59,1,2,2,2
107,107,Sunitha Murthy,41,8,1,1,2
108,108,Yamuna Nayak,49,9,1,3,2
109,109,Srinivas Naik,47,6,1,2,1
110,110,Fathima Biradar,37,5,1,5,2
111,111,Sujatha Angadi,69,7,1,5,2
112,112,Vinay Ballal,37,1,1,1,1
113,113,Nagaraj Reddy,41,1,1,2,1
114,114,Chandru Naik,60,4,1,5,1
115,115,Grace Kori,47,4,2,5,2
116,116,Vidya Biradar H,64,9,1,3,2
117,117,Ganesh Naik,33,2,1,4,1
118,118,Mahesh Prasad,53,1,1,3,1
119,119,Naveen Hiremath,18,10,1,1,1
120,120,Darshan Hanumanthappa P,39,9,1,4,1
121,121,Mohan Hanumanthappa,56,1,1,5,1
122,122,Syed Jadhav,19,8,1,3,1
123,123,Anil Poojary B,36,5,1,2,1
124,124,Deepa Kulkarni,65,10,1,1,2
125,125,Lokesh Kamath R,51,6,1,3,1
126,126,Bhavya V,66,4,1,5,2
127,127,Naveen Hanumanthappa N,43,8,3,4,1
128,128,Sunitha Swamy S,63,5,1,5,2
129,129,Kiran Shetty L,18,10,1,3,1
130,130,Mahesh R,60,6,1,5,1
131,131,Yamuna Hanumanthappa,46,7,2,4,2
132,132,Kavya Hanumanthappa,39,5,1,3,2
133,133,Manjunath L,50,8,1,3,1
134,134,Sushma Shetty,61,9,4,2,2
135,135,Yogesh Desai,60,9,1,2,1
136,136,Ayesha Shetty,49,3,1,3,2
137,137,Rekha Patil,41,10,1,3,2
138,138,Madhu B,38,8,1,3,1
139,139,Shivakumar Nayak,67,3,1,5,1
140,140,Naveen Prasad,26,2,2,5,1
141,141,Anitha Ballal,40,8,2,1,2
142,142,Harish Kori,44,10,1,2,1
143,143,Shivakumar Prasad,27,4,1,2,1
