EmployeeID,DistrictID,UnitID,RankID,DesignationID,FirstName,GenderID
1,1,1,9,2,Girish T,1
2,1,1,6,2,Suresh Prasad,1
3,1,1,7,2,Gopal Biradar,1
4,1,1,8,4,Prakash Devaraj,1
5,1,1,7,4,Rohit Rao,1
6,1,1,7,4,Madhu Setty,1
7,1,2,9,1,Manjunath Ballal,1
8,1,2,9,2,Vijay Poojary,1
9,1,2,6,2,Srinivas Patil,1
10,1,3,7,1,Yamuna M,2
11,1,3,5,4,Rohit Naik,1
12,1,3,7,1,Ramesh Jadhav,1
13,1,3,7,2,Naveen Desai R,1
14,1,3,9,2,Vishnu Angadi,1
15,1,3,5,2,Ravi Murthy,1
16,1,4,7,4,Chandru Iyer,1
17,1,4,7,4,Naveen Nayak,1
18,1,4,7,2,Madhu S,1
19,1,4,8,2,Basavaraj Iyer,1
20,1,5,6,2,Naveen Ballal,1
21,1,5,8,4,Nandini Murthy,2
22,1,5,8,2,Syed Kumar,1
23,1,5,7,2,Suresh Nayak,1
24,1,5,9,2,Kiran Banakar,1
25,1,5,8,2,Harish Banakar,1
26,1,6,9,2,Praveen Banakar,1
27,1,6,8,2,Vinay Setty,1
28,1,6,7,2,Ashwini Hegde,2
29,1,6,7,2,David Iyer,1
30,1,6,6,2,Praveen Poojary,1
31,1,7,5,4,Deepak Kamath,1
32,1,7,8,1,Ramesh Kulkarni P,1
33,1,7,7,1,Girish Patil,1
34,1,7,5,1,Lokesh Kori L,1
35,1,7,9,2,Syed H,1
36,1,7,7,2,Naveen Gowda,1
37,1,8,9,2,Basavaraj Pai,1
38,1,8,5,2,Ashwini Desai,2
39,1,8,5,4,Rekha Bhat,2
40,1,8,7,1,Darshan Setty,1
41,1,8,7,2,Rohit Murthy,1
42,1,9,8,1,Venkatesh Bhat,1
43,1,9,9,2,Manasa Swamy,2
44,1,9,7,2,Manjunath T,1
45,1,9,6,2,Ravi Patil S,1
46,1,9,8,4,Rohit Angadi,1
47,1,10,9,1,Fathima A,2
48,1,10,9,2,Prakash Pai,1
49,1,10,7,4,Arun Biradar,1
50,1,11,6,2,Rohit Setty H,1
51,1,11,7,1,Ravi Acharya,1
52,1,11,7,1,Sunil Shetty,1
53,1,11,8,2,Nagaraj Swamy,1
54,1,12,6,4,Prakash Prasad,1
55,1,12,6,2,Ayesha Hanumanthappa,2
56,1,12,5,2,Harish T,1
57,1,12,8,4,Lakshmi Gowda,2
58,1,13,7,4,Praveen Hegde,1
