VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
1,1,Bhavya Reddy,62,2,0
2,2,Thomas K,30,1,0
3,3,Divya G,16,2,0
4,4,Arun Acharya N,56,1,0
5,4,Sandeep Patil,34,1,0
6,5,Deepak Reddy,34,1,0
7,6,Ramya Setty,55,2,0
8,7,Gopal Kumar,69,1,0
9,7,Suresh Desai,35,1,0
10,8,Grace Kumar,33,2,0
11,9,Shwetha Angadi,60,2,0
12,10,Rohit Iyer,29,1,0
13,11,Kavya Reddy,36,2,0
14,12,Girish H,58,1,0
15,13,Mary Kori,35,2,0
16,14,Sujatha Biradar,26,2,0
17,15,Geetha Hanumanthappa,75,2,0
18,16,Mary Pai,44,2,0
19,17,Anitha Hiremath,61,2,0
20,18,Sujatha Naik,56,2,0
21,18,Nandini Gowda,38,2,0
22,19,Ravi Nayak,24,1,0
23,20,Darshan Murthy,61,1,0
24,21,Anil Desai P,36,1,0
25,22,Ramesh L,18,1,0
26,23,Rekha Setty,33,2,0
27,24,Bharathi Reddy,39,2,0
28,25,Fathima R,60,2,0
29,26,Bhavya Bhat B,34,2,0
30,27,Bharathi Bhat,34,2,0
31,28,Vidya Desai,31,2,0
32,29,Imran Acharya,53,1,0
33,30,Ramya Kamath,56,2,0
34,31,Padma Kori G,51,2,0
35,32,Meena Gowda,29,2,0
36,33,Ashwini Rao,73,2,0
37,34,Basavaraj Poojary G,31,1,0
38,34,Imran D,27,1,0
39,35,Ramya Kumar,52,2,0
40,36,Ayesha Jadhav,51,2,0
41,37,Pooja Nayak,18,2,0
42,38,Gopal Hanumanthappa,59,1,0
43,39,Bhavya Iyer N,75,2,0
44,40,Rekha Rao,30,2,0
45,41,Syed Devaraj,33,1,0
46,42,Girish Desai,70,1,0
47,43,Shwetha Rao,19,2,0
48,44,Basavaraj Murthy,64,1,0
49,45,Sandeep Prasad,34,1,0
50,46,Padma R,75,2,0
51,47,Mahesh Desai,59,1,0
52,47,Lakshmi Hegde,57,2,0
53,47,Lakshmi Hanumanthappa,51,2,0
54,48,Uma Hegde,54,2,0
55,49,Meena Poojary,34,2,0
56,50,Nandini Jadhav,75,2,0
57,51,Ashwini Kulkarni,61,2,0
58,52,Vidya Setty B,23,2,0
59,53,Padma Poojary,49,2,0
60,54,Mary M,28,2,0
61,55,Gopal Hanumanthappa,47,1,0
62,55,Thomas Nayak,64,1,0
63,56,Ramesh Kulkarni,54,1,0
64,56,Mahesh Iyer,70,1,0
65,56,Sahana Prasad,40,2,0
66,57,Raghavendra Setty,74,1,0
67,58,Sunil Reddy,77,1,0
68,59,Chaitra Angadi,28,2,0
69,59,Rohit Hanumanthappa,43,1,0
70,59,Geetha Gowda,27,2,0
71,60,Shivakumar Kamath,59,1,1
72,61,Rajesh M,20,1,0
73,61,Praveen Setty,70,1,0
74,62,Chaitra Kulkarni,26,2,0
75,63,Karthik Prasad,80,1,0
76,64,Grace Jadhav,54,2,0
77,64,Pooja Hiremath,41,2,0
78,64,Lokesh Murthy,72,1,0
79,65,Chaitra Banakar,78,2,0
80,66,Pooja Reddy,77,2,0
81,67,Chandru Iyer,80,1,0
82,67,Vidya T,34,2,0
83,68,Venkatesh Ballal,25,1,0
84,69,Girish Kulkarni,79,1,0
85,70,Rekha Biradar,53,2,0
86,70,Ayesha Nayak,71,2,0
87,71,Lokesh Desai R,63,1,0
88,72,Ganesh Reddy,32,1,0
89,72,Nagaraj Shetty,79,1,0
90,73,Naveen Poojary,56,1,0
91,74,Basavaraj Kori,76,1,0
92,75,Shwetha Hiremath,51,2,0
93,76,Divya Iyer,29,2,0
94,77,Ramya Kori,32,2,0
95,78,Deepa Shetty,57,2,0
96,79,Bhavya Hegde,30,2,0
97,80,Kiran T,69,1,0
98,80,Meena Setty,61,2,0
99,81,Sujatha Bhat,55,2,0
100,82,Vinay V,22,1,0
101,83,Girish Hanumanthappa,22,1,0
102,83,Sunitha Prasad,16,2,0
103,83,Deepak Desai,17,1,0
104,84,Netra Naik,46,2,0
105,85,Ravi Setty,68,1,0
106,86,Yamuna Desai,74,2,0
107,87,Sowmya Hanumanthappa,16,2,0
108,88,Nandini Hiremath,35,2,0
109,89,Mahesh K,71,1,0
110,90,Abdul Hiremath,64,1,0
111,91,Ravi Reddy,22,1,0
112,92,Ashwini Naik,73,2,0
113,92,Meena D,18,2,0
114,92,Bhavya Kamath,21,2,0
115,93,Sujatha Hanumanthappa,67,2,0
116,94,Shwetha Jadhav,21,2,0
117,95,Bharathi Prasad,43,2,0
118,96,Basavaraj Swamy,35,1,0
119,97,Rajesh Ballal,70,1,0
120,98,Arun Pai,77,1,0
121,99,Manjunath Devaraj,52,1,0
122,100,Thomas Hegde,32,1,0
123,101,Ganesh Bhat,49,1,0
124,102,Ashwini Kumar,20,2,0
125,103,Mohan M,37,1,0
126,104,Rohit Prasad L,60,3,1
127,105,Arun M,79,1,0
128,106,Nandini Ballal,24,2,0
129,107,Lakshmi Jadhav,37,2,0
130,108,Ganesh Poojary N,48,1,0
131,109,Gopal Poojary,39,1,0
132,110,Pooja Bhat,47,2,0
133,111,Uma Banakar,37,2,0
134,112,Ravi Swamy,56,1,0
135,113,Rajesh Devaraj,72,1,0
136,114,Vidya T,41,2,0
137,115,Bhavya Nayak,53,2,0
138,116,Grace Ballal,37,2,0
139,116,Roopa Gowda,37,2,0
140,116,Lakshmi Bhat,39,2,0
141,117,Kavya Reddy,49,2,0
142,118,Manjunath R,38,1,0
143,119,Sushma Rao,39,2,0
144,120,Venkatesh Kulkarni,37,1,0
145,121,Mahesh Desai,70,1,0
146,122,David Hiremath P,66,1,0
147,123,Bhavya Nayak,49,2,0
148,123,Lokesh Swamy,31,1,0
149,123,Ravi Rao,62,1,0
150,124,Girish Pai,51,1,0
151,125,Shankar M,17,1,0
152,126,Anil Kumar B,24,1,0
153,127,Vishnu Pai,56,1,0
154,128,Lokesh Iyer,75,1,0
155,129,Sandeep Murthy,34,1,0
156,129,Manasa Bhat,70,2,0
157,130,Harish Reddy V,26,1,0
158,130,Ayesha Patil,66,2,0
159,130,Kiran S,21,1,0
160,131,Syed Kumar,19,1,0
161,132,Syed Hanumanthappa,25,1,0
162,132,Nandini Pai,46,2,0
163,133,Anitha Shetty,72,2,0
164,133,Pooja Poojary G,76,2,0
165,134,Sushma Biradar,79,2,0
166,134,Vishnu Acharya,64,1,0
167,135,Sahana B,48,2,0
168,136,Rekha M,20,2,0
169,136,Mahesh Kamath A,78,1,0
170,136,Mary Bhat,44,2,0
171,137,Manasa S,29,2,0
172,138,Kavya H,56,2,0
173,139,Shwetha Swamy,33,2,0
174,140,Mary Biradar,35,2,0
175,141,Anil Kori,54,1,0
176,141,Rohit Kumar,79,1,0
177,141,Vidya Biradar,61,2,0
178,142,Darshan Naik,73,1,0
179,143,Venkatesh L,26,1,0
180,143,Mohan T,24,1,0
181,143,Imran Gowda,71,1,1
182,144,Venkatesh Hanumanthappa,76,1,0
183,144,Mohan Naik,47,1,0
184,145,Mahesh Murthy,34,1,0
185,146,Deepak Bhat S,18,1,0
186,147,Uma Bhat,75,2,0
187,148,Geetha Banakar,26,2,0
188,148,Sushma Patil,61,2,0
189,149,Darshan Gowda,63,1,0
190,150,Sushma N,19,2,0
191,151,Abdul T,27,1,0
192,152,Shivakumar Iyer,43,1,0
193,152,Vijay Ballal,23,1,0
194,153,Sunitha M,49,2,0
195,154,Ganesh Angadi,53,1,0
196,155,Madhu Swamy M,64,1,0
197,156,Ayesha Pai,35,2,0
198,157,Naveen B,60,1,0
199,158,Yamuna Biradar,19,2,0
200,158,Sujatha Prasad,17,2,0
201,159,Manasa G,26,2,0
202,160,Anitha Reddy,74,2,0
203,161,Deepa Nayak,32,2,0
204,162,Suresh Acharya,79,1,0
205,163,Bhavya N,75,2,0
206,163,Bharathi Banakar,62,2,0
207,164,Umesh P,52,1,0
208,164,Prasad Iyer,65,1,0
209,165,Deepak Prasad,21,1,0
210,166,Ravi Rao,18,1,0
211,166,Padma Banakar,64,2,0
212,167,Santosh Kamath,47,1,0
213,168,Ganesh K,34,1,0
214,168,Chaitra Hiremath,58,2,0
215,169,Chaitra Banakar,75,2,0
216,170,Kavya Angadi,77,2,0
217,171,Bharathi Swamy,36,2,0
218,172,Yamuna Desai,41,2,0
219,173,Pooja V,44,2,0
220,174,Grace N,24,2,0
221,175,Sunil B,71,1,0
222,175,Raghavendra Desai,56,1,0
223,176,Shivakumar Gowda,49,1,0
224,177,Sujatha Kamath,20,2,0
225,177,Madhu Prasad,31,1,0
226,177,Vinay V,65,1,0
227,178,Syed Jadhav,62,1,0
228,179,Shwetha Nayak,73,2,0
229,180,Sahana Hiremath,34,2,0
230,181,Sunil R,37,1,0
231,182,Ashok R,79,1,0
232,183,Lokesh H,33,1,0
233,184,Sahana Shetty,18,2,0
234,184,Mohan Rao,37,1,0
235,185,Basavaraj Hiremath,40,1,0
236,186,Chandru Ballal,70,1,0
237,187,Sahana Patil,69,2,0
238,188,Arun D,80,3,0
239,189,Arun Kori,35,1,0
240,189,Manasa Pai,78,2,0
241,189,Deepa Desai,51,2,0
242,190,Uma Kumar,59,2,0
243,191,Manasa L,32,2,0
244,192,Shivakumar Rao,25,1,0
245,193,Nagaraj Kamath,17,1,0
246,194,Ayesha Kamath,30,2,0
247,195,Yamuna Naik M,34,2,0
248,196,Harish Rao P,20,1,0
249,197,Venkatesh P,56,1,0
250,198,Madhu Poojary,53,1,0
251,198,Sahana Hanumanthappa,80,2,0
252,199,Sunil Iyer,72,1,0
253,200,Sahana B,38,2,0
254,201,Srinivas Desai,35,1,0
255,202,Geetha Kori,56,2,0
256,203,Ravi Desai,46,1,0
257,204,David Murthy L,54,1,0
258,205,Ashok Shetty,23,1,0
259,206,Basavaraj Patil,17,1,0
260,207,Bhavya Desai,66,2,0
261,208,Mahesh G,71,1,0
262,209,Girish Kumar,27,1,0
263,209,Meena Iyer B,45,2,0
264,210,Shwetha Murthy,31,2,0
265,211,Ravi Naik,31,1,0
266,212,Roopa Banakar,16,2,0
267,213,Ravi Hiremath,31,1,0
268,214,Mary Hiremath,22,2,0
269,215,Ramesh N,28,1,0
270,216,Syed Nayak,74,1,0
